rank,code,score,close_price,volume,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
1,689009,22131200.744647447,55.365,5851646.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.034415111260579535,3.6099999999999994,-1,38.304093567251456,-0.672112628887632,-0.5884572840878447,38.735420503376325,-65.95427761158336,1.5900000000000034,0,0.5045121043500369,376230395.0,0.5768089285566603,0.3005828476269775,0.3005828476269775,0.06483980924488081,1.8525983583001668
2,600839,7796734.3321848,9.69,2352919.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.04779411764705885,0.7400000000000002,-1,29.129129129129126,-0.5014974010003392,-0.4406313284176151,64.15929203539821,-36.985970499862304,0.5800000000000001,0.10999999999999943,1.060951483944812,132544423.0,1.4182253719066944,0.25151515151515147,0.25151515151515147,0.09131293255623259,1.7355054680599482
3,002131,6517132.979953204,3.187,2875421.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.023771281721811706,0.07999999999999963,-1,19.16666666666667,-0.25211677502358976,-0.6179650714449078,53.26086956521737,-62.86097372952729,0.1299999999999999,-0.009999999999999787,0.8150405025742155,110791248.0,0.9828225045227142,0.16814159292035394,0.16814159292035394,0.09991450523743929,2.5048918263468423
4,601727,6477667.698079335,7.21,1361948.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.02823730747290352,0.33000000000000007,-1,34.599156118143455,-0.28722608319419063,-0.5580330925163617,50.0,-46.1049818933418,0.20999999999999996,0.0699999999999994,0.7703634285807373,110120309.0,1.0124348396738558,0.2986111111111108,0.2986111111111108,0.056963966570205866,2.143211877284493
5,300059,6156554.843594869,20.52,3181844.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate,float_cap,sideways",0.022829229388894527,1.25,-1,26.92967409948541,-0.8729407414087689,-0.628773658589029,49.999999999999964,-64.2467291744025,0.5399999999999991,-0.15000000000000213,0.5639279867999644,104661416.0,0.7995546197085804,0.2450980392156862,0.2450980392156862,0.06670736950487048,2.576666935143971
6,601933,5853056.01757729,6.03,8326325.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.03324194653872514,0.8500000000000005,1,72.97297297297297,0.19621055800943932,0.9107301740285267,73.80952380952381,116.79069007326143,0.39999999999999947,0,0.9059637222587731,99501679.0,1.399816272459315,0.883720930232558,0.883720930232558,0.09966842218611362,2.1625541099436156
7,600733,5455537.913855398,7.75,1431382.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.030311087476734878,0.1200000000000001,-1,38.616714697406344,-0.16442217292091676,-0.5611615022961483,50.0,-58.64406819030048,0.3600000000000003,0.10000000000000053,0.8331173005961572,92744112.0,0.7871493638274967,0.32450331125827836,0.32450331125827836,0.05455818489999031,1.3543363655812084
8,601299,5156564.465430238,29.98,2569709.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",-0.06230451645189533,-4.120000000000001,0,46.91780821917808,3.2592323507828986,-0.1762983319473369,6.009615384615387,-80.12555104808268,4.280000000000001,0.259999999999998,1.0328901424673562,87661615.0,0.7803959940804664,0.4758961681087762,0.4758961681087762,0.1383091132441245,1.7664244059785148
9,300459,4801799.577161117,4.98,1250641.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate,float_cap,sideways",0.04402515723270439,0.5700000000000003,-1,22.388059701492523,-0.4472916082670464,-0.6023288127972279,38.02083333333336,-63.56667405215593,0.17999999999999972,-0.05999999999999961,0.5504145798308233,81630593.0,0.6654815814082482,0.2183908045977013,0.2183908045977013,0.13351441722687998,2.498923099714011
10,601288,4671907.1325654015,4.885,4860435.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.0090890311919026,0.09999999999999964,-1,52.777777777777786,-0.003364148270283529,0.011788388026945226,70.00000000000003,-28.341010063257475,0.0699999999999994,0.040000000000000036,0.7197906041079483,79422324.0,0.8651532148005068,0.5263157894736837,0.5263157894736837,0.008684402154155797,0.9430710421544664
