code,latest_date,days_diff
300630,2025-05-21,356
000013,2004-04-28,8049
000003,2002-04-26,8782
002505,2024-08-30,620
600565,2024-08-07,643
000787,2007-04-27,6955
600709,2003-04-28,8415
000542,2004-01-06,8162
600069,2020-08-20,2091
600898,2025-02-10,456
600277,2024-07-18,663
600432,2018-07-11,2862
600695,2022-06-07,1435
300038,2022-06-29,1413
300028,2020-07-31,2111
000763,2005-12-14,7454
002113,2023-08-11,1005
000405,2003-04-25,8418
600591,2010-01-11,5965
002499,2023-04-17,1121
600205,2007-01-09,7063
000806,2023-07-06,1041
600145,2022-04-21,1482
600700,2005-04-25,7687
600466,2023-05-09,1099
002770,2022-06-22,1420
002618,2022-06-21,1421
002147,2022-06-22,1420
300104,2020-07-20,2122
603963,2025-03-21,417
300262,2024-08-19,631
002464,2022-06-27,1415
002359,2021-07-22,1755
002231,2026-03-26,47
002288,2024-08-19,631
601268,2014-04-28,4397
600762,2006-04-28,7319
600772,2006-08-31,7194
000047,2002-04-29,8779
600786,2008-01-25,6682
000602,2013-07-18,4681
600002,2006-04-06,7341
600647,2024-07-03,678
600625,2001-04-13,9160
600070,2025-04-30,377
600891,2021-04-30,1838
600306,2024-06-26,685
600553,2011-02-01,5579
300325,2022-06-27,1415
000660,2004-04-21,8056
300379,2026-01-21,111
002417,2023-07-10,1037
002619,2022-03-31,1503
600669,2004-03-18,8090
600701,2021-04-26,1842
600240,2020-01-23,2301
002087,2024-06-28,683
000982,2024-08-12,638
600806,2018-07-11,2862
002220,2020-08-11,2100
300273,2023-07-06,1041
300297,2023-07-31,1016
603996,2022-05-17,1456
600656,2016-05-11,3653
600646,2003-04-29,8414
600003,2009-03-13,6269
300089,2023-07-13,1034
000976,2024-08-27,623
000613,2022-06-28,1414
000046,2024-02-07,825
300356,2023-07-12,1035
000024,2015-12-07,3809
000671,2023-08-16,1000
600890,2022-06-15,1427
600634,2021-07-14,1763
600317,2021-01-14,1944
000588,2001-06-01,9111
002280,2024-08-16,634
603133,2024-07-03,678
600321,2024-06-27,684
300064,2022-06-24,1418
002341,2024-08-23,627
002504,2023-08-21,995
300312,2022-07-01,1411
300208,2025-07-18,298
002610,2024-08-12,638
600670,2004-04-28,8049
688555,2023-06-30,1047
002018,2019-10-31,2385
600899,2005-01-19,7783
600068,2021-09-01,1714
300090,2020-08-24,2087
000817,2005-12-14,7454
600842,2010-02-03,5942
300029,2026-04-29,13
600852,2005-04-22,7690
000851,2025-11-10,183
000939,2020-12-16,1973
600242,2023-06-20,1057
000583,2006-04-19,7328
002477,2019-10-15,2401
600393,2023-06-08,1069
300309,2023-05-30,1078
300742,2024-07-22,659
002711,2021-07-14,1763
600804,2025-07-02,314
300117,2025-04-30,377
600087,2014-06-04,4360
600220,2024-07-10,671
600146,2022-06-23,1419
