code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
002391,长青股份,6.66,-0.89,13310601,79.8,A,100,80,92.5,56.0,-0.89,3.1,3.26,0.94,"多头排列,趋势向上,量价齐升"
002594,比亚迪,104.62,4.97,108781426,79.8,A,100,100,77.5,74.6,5.57,9.88,16.17,1.0,"多头排列,强势上涨(3日+5.6%),量价齐升"
600269,赣粤高速,4.99,-0.2,23889724,79.8,A,100,80,92.5,58.5,-0.6,0.4,0.81,0.3,"多头排列,趋势向上,MACD金叉"
301097,天益医疗,61.49,2.14,756100,79.8,A,100,100,85.0,66.4,2.95,10.97,7.71,1.0,"多头排列,强势上涨(3日+2.9%),放量上涨"
600500,中化国际,4.76,-3.25,82602442,79.8,A,100,80,92.5,55.2,-3.45,4.39,5.54,0.85,"多头排列,趋势向上,量价齐升"
000695,滨海能源,15.3,6.03,40508898,79.8,A,100,100,77.5,77.4,10.47,21.33,19.25,1.0,"多头排列,强势上涨(3日+10.5%),量价齐升"
300983,尤安设计,32.3,3.79,5215204,79.8,A,100,100,77.5,74.2,9.23,19.14,22.35,1.0,"多头排列,强势上涨(3日+9.2%),量价齐升"
301156,美农生物,20.97,1.3,4452942,79.8,A,100,100,85.0,58.5,3.5,7.87,3.71,1.0,"多头排列,强势上涨(3日+3.5%),放量上涨"
300324,旋极信息,5.47,-2.32,69991432,79.8,A,40,100,100.0,43.9,3.21,4.79,-4.04,0.18,"强势上涨(3日+3.2%),缩量回调,MACD金叉"
600527,江南高纤,2.6,0.0,223618382,79.8,A,100,100,77.5,73.4,0.39,14.54,12.55,1.0,"多头排列,强势上涨(3日+0.4%),量价齐升"
300214,日科化学,8.32,5.99,46640200,79.8,A,100,100,77.5,70.0,3.74,14.29,11.83,1.0,"多头排列,强势上涨(3日+3.7%),量价齐升"
300185,通裕重工,3.94,-6.41,966936295,79.8,A,100,100,77.5,77.6,12.25,28.34,29.18,0.81,"多头排列,强势上涨(3日+12.3%),量价齐升"
600873,梅花生物,12.83,0.16,93777484,79.8,A,100,100,77.5,78.4,1.02,13.34,16.21,1.0,"多头排列,强势上涨(3日+1.0%),量价齐升"
300675,建科院,16.08,-1.35,3909952,79.8,A,40,100,100.0,41.1,2.62,5.79,-4.4,0.56,"强势上涨(3日+2.6%),量价齐升,MACD金叉"
600233,圆通速递,20.41,-1.4,31493330,79.8,A,100,100,77.5,73.9,3.55,7.82,13.14,0.93,"多头排列,强势上涨(3日+3.6%),量价齐升"
002136,安 纳 达,14.45,-0.69,24135055,79.8,A,100,100,77.5,55.5,1.9,3.36,9.47,0.95,"多头排列,强势上涨(3日+1.9%),量价齐升"
002301,齐心集团,7.43,2.62,11424550,79.8,A,40,100,100.0,41.5,2.48,4.35,-5.47,0.27,"强势上涨(3日+2.5%),缩量回调,MACD金叉"
600328,中盐化工,9.9,-2.37,80285455,79.8,A,100,80,92.5,57.6,-4.9,5.1,10.37,0.81,"多头排列,趋势向上,量价齐升"
688399,硕世生物,63.13,-0.79,992040,79.8,A,40,80,100.0,45.9,-2.82,9.93,-10.35,0.22,"趋势向上,量价齐升,MACD金叉"
002726,龙大美食,4.01,2.56,21821055,79.8,A,40,100,100.0,46.2,1.01,0.75,-3.84,0.43,"强势上涨(3日+1.0%),量价齐升,MACD金叉"
002063,远光软件,7.06,-2.62,109774715,79.8,A,100,50,92.5,57.8,-6.24,14.42,8.28,0.7,"多头排列,量价齐升,MACD金叉"
601127,赛力斯,103.24,3.0,27256664,79.8,A,40,100,92.5,39.8,3.36,0.82,-6.97,0.18,"强势上涨(3日+3.4%),放量上涨,MACD金叉"
601158,重庆水务,4.65,-0.21,13626900,79.8,A,100,80,92.5,67.7,-0.85,1.31,1.75,0.85,"多头排列,趋势向上,量价齐升"
600368,五洲交通,4.06,0.0,14073658,79.8,A,100,80,92.5,61.1,-0.49,0.5,0.74,0.86,"多头排列,趋势向上,量价齐升"
300975,商络电子,17.37,5.79,65629533,79.8,A,100,100,85.0,65.7,3.09,20.54,13.83,0.98,"多头排列,强势上涨(3日+3.1%),放量上涨"
603079,圣达生物,18.97,5.27,8078837,79.8,A,40,100,100.0,43.4,3.77,9.02,-4.91,0.48,"强势上涨(3日+3.8%),量价齐升,MACD金叉"
002468,申通快递,14.3,1.2,26985617,79.8,A,100,100,85.0,66.3,2.0,6.48,9.75,0.86,"多头排列,强势上涨(3日+2.0%),放量上涨"
600035,楚天高速,4.02,0.0,12826184,79.8,A,100,80,92.5,57.1,-0.25,0.25,1.26,0.84,"多头排列,趋势向上,量价齐升"
688819,天能股份,33.48,-3.49,7784547,79.8,A,40,100,100.0,48.7,2.54,5.45,-3.57,0.43,"强势上涨(3日+2.5%),量价齐升,MACD金叉"
301525,儒竞科技,87.18,-2.97,3278100,79.8,A,100,80,92.5,53.7,-3.62,2.05,2.94,0.35,"多头排列,趋势向上,MACD金叉"
300981,中红医疗,15.48,-1.84,37466858,79.8,A,100,100,77.5,71.1,17.81,25.65,18.08,0.92,"多头排列,强势上涨(3日+17.8%),量价齐升"
601669,中国电建,6.47,-10.01,1911490858,79.8,A,100,80,70.0,65.5,-1.07,15.74,16.79,0.65,"多头排列,趋势向上,量价齐升"
300872,天阳科技,17.9,2.93,17982807,79.8,A,40,80,100.0,43.2,-2.45,3.89,-0.22,0.22,"趋势向上,量价齐升,MACD金叉"
300180,华峰超纤,6.99,3.1,100508594,79.8,A,100,80,70.0,57.4,-2.51,6.39,5.11,0.74,"多头排列,趋势向上,量价齐升"
002135,东南网架,7.2,-1.77,45677139,79.8,A,100,100,77.5,73.0,0.98,9.92,14.83,0.96,"多头排列,强势上涨(3日+1.0%),量价齐升"
002360,同德化工,6.63,-0.9,40151700,79.8,A,100,100,77.5,74.6,3.11,20.99,23.23,0.97,"多头排列,强势上涨(3日+3.1%),量价齐升"
002132,恒星科技,3.98,-0.25,35325855,79.8,A,100,50,92.5,56.2,-1.97,5.57,2.84,0.74,"多头排列,量价齐升,MACD金叉"
605183,确成股份,22.49,-2.64,4345000,79.8,A,100,80,92.5,53.8,-2.51,4.31,6.89,0.87,"多头排列,趋势向上,量价齐升"
603659,璞泰来,32.26,-0.46,121354286,79.8,A,100,100,85.0,65.4,9.5,14.85,12.6,0.98,"多头排列,强势上涨(3日+9.5%),放量上涨"
603655,朗博科技,39.49,-1.27,1481200,79.8,A,40,100,100.0,40.3,2.07,4.03,-9.22,0.4,"强势上涨(3日+2.1%),量价齐升,MACD金叉"
301163,宏德股份,33.13,2.41,8686491,79.8,A,100,100,85.0,63.0,5.11,11.81,6.39,1.0,"多头排列,强势上涨(3日+5.1%),放量上涨"
300121,阳谷华泰,14.8,5.11,57695857,79.8,A,100,100,77.5,72.0,8.66,7.25,11.28,1.0,"多头排列,强势上涨(3日+8.7%),量价齐升"
300068,南都电源,16.08,-0.8,52104529,79.8,A,100,80,92.5,58.1,-1.41,7.27,4.62,0.39,"多头排列,趋势向上,MACD金叉"
