code,trade_date,open,close,high,low,volume,price,change_pct,ma5,ma10,ma20,vol_ma5,vol_ma10,low_20,high_20,momentum_3d,momentum_10d,momentum_20d,amplitude,volume_ratio,rsi,position,score_change,score_trend,score_momentum,score_rsi,score_volume,score_position,enhanced_score,grade,trend,reasons,name
001234,2026-03-30,25.88,25.38,26.19,25.23,19694,25.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,泰慕士
300630,2025-05-21,0.9,0.89,0.95,0.86,368183,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,普利退
300748,2026-03-30,30.87,31.05,31.17,30.48,188267,31.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,金力永磁
002026,2026-03-30,12.7,12.84,12.93,12.65,41884,12.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,山东威达
300620,2026-03-30,188.73,188.5,193.65,185.6,166987,188.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,光库科技
002036,2026-03-30,8.8,8.81,8.85,8.6,220239,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,联创电子
300758,2026-03-30,13.51,13.78,13.81,13.51,69137,13.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,七彩化学
301252,2026-03-30,34.22,36.22,36.88,34.22,40385,36.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,同星科技
000656,2026-03-30,1.34,1.37,1.37,1.33,865081,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,*ST金科
688048,2026-03-30,228.0,223.16,232.0,220.1,11725868,223.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,长光华芯
603385,2026-03-30,6.66,6.78,6.78,6.59,34002,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,惠达卫浴
600976,2026-03-30,32.91,34.13,34.28,32.85,44161,34.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,健民集团
300065,2026-03-30,22.07,23.01,23.15,22.05,442890,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0,10,0,15,0,5,80,S,60,偏多趋势,海兰信
