code,name,enhanced_score,trade_date,price,volume,change_pct
603637,镇海股份,97,2026-04-22,16.8,27838213,10.02
688401,路维光电,97,2026-04-22,69.81,18638853,19.64
002796,世嘉科技,97,2026-04-22,61.39,24899848,10.0
688661,和林微纳,96,2026-04-22,119.26,19336170,15.29
300903,科翔股份,96,2026-04-22,43.92,54692284,14.43
002588,史丹利,96,2026-04-22,11.68,41328783,9.98
600184,光电股份,96,2026-04-22,25.85,34435491,10.0
301235,华康洁净,95,2026-04-22,58.79,13535922,11.79
002360,同德化工,95,2026-04-22,6.92,35466031,10.02
002636,金安国纪,95,2026-04-22,46.07,43910059,16.43
