factor_name,ic_mean,ic_ir,long_short_return,p_value
factor_ma_trend,0.0,0.0,NaN,1.0
factor_macd,0.0,0.0,NaN,1.0
factor_rsi,0.0,0.0,NaN,1.0
factor_kdj,0.0,0.0,NaN,1.0
factor_bollinger,0.0,0.0,NaN,1.0
factor_atr,0.0,0.0,NaN,1.0
factor_cci,0.0,0.0,NaN,1.0
factor_wr,0.0,0.0,NaN,1.0
factor_dmi,0.0,0.0,NaN,1.0
factor_roc,0.0,0.0,NaN,1.0
factor_mtm,0.0,0.0,NaN,1.0
factor_asi,0.0,0.0,NaN,1.0
factor_emv,0.0,0.0,NaN,1.0
factor_psy,0.0,0.0,NaN,1.0
factor_ma5_bias,-0.037981037252394455,-0.21291549958294728,NaN,0.00026218165596156805
factor_volume_ratio,0.0,0.0,NaN,1.0
factor_turnover,0.0,0.0,NaN,1.0
factor_obv,0.0,0.0,NaN,1.0
factor_vr,0.0,0.0,NaN,1.0
factor_mfi,0.0,0.0,NaN,1.0
factor_vma,0.0,0.0,NaN,1.0
factor_vosc,0.0,0.0,NaN,1.0
factor_wvad,0.0,0.0,NaN,1.0
factor_v_ratio10,-0.018564152426745636,-0.22159617964470996,NaN,0.00014738908571603252
factor_v_total,0.0,0.0,NaN,1.0
factor_limit_up_score,0.0,0.0,NaN,1.0
factor_pioneer_status,0.0,0.0,NaN,1.0
factor_cost_peak,-0.050678523308093706,-0.2648682261184453,NaN,6.364865121704148e-6
factor_market_temperature,0.0,0.0,NaN,1.0
factor_market_breadth,0.0,0.0,NaN,1.0
factor_market_sentiment,-0.07373453469674836,-0.6821254417470788,NaN,8.642480651771887e-27
factor_market_trend,0.04686278932969745,0.21239535182421992,NaN,0.0002712284756163316
factor_market_health,-0.05051420928006418,-0.3627129958528936,NaN,1.0984140360382806e-9
factor_ep_proxy,0.05182626202930738,0.22917955208607704,NaN,0.00014700175596279506
factor_bp_proxy,-0.07096067536669862,-0.3739679779444061,NaN,1.2766172191665898e-9
factor_roe_proxy,-0.06678945034406694,-0.4115146293971412,NaN,8.570865152293526e-10
